id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
640405,64,29,นาย,จักรวาล,  ชัยวิรัตน์นุกูล,M,58,นักการเมือง,ปริญญาโท,36738,40.93963,1
640406,64,25,นาย,สะอาด,  กาฟัก,M,67,ข้าราชการบำนาญ,ปริญญาตรี,414,0.46135,7
640407,64,31,นาย,นวพันธ์,  เอื้อคณิต,M,46,ธุรกิจน้ำดื่มช้างล้อม,ปริญญาโท,18512,20.62917,2
640408,64,37,นาย,จเร,  บุญกำเหนิด,M,49,เกษตรกรรม,ปริญญาตรี,223,0.2485,9
640409,64,14,นาย,ธันนวัฒน์,  ชะเอม,M,50,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,230,0.2563,8
720101,72,7,นาย,อิสระ,  บุญญาอรุณเนตร,M,67,รับราชการ,ปริญญาตรี,816,0.80128,6
720102,72,25,นาย,ชูชาติ,  สุขสวัสดิ์,M,67,ข้าราชการบำนาญ,ปริญญาโท,731,0.71781,8
720103,72,26,นาย,สมมาตร,  วิสุทธิวงษ์,M,51,ผู้แนะนำการลงทุน Investment Consultant ของ กลต.,ปริญญาโท,975,0.95741,5
720104,72,37,นาย,ศุภกิจ,  กลิ่นหอม,M,69,ข้าราชการบำนาญ,ปริญญาตรี,740,0.72665,7
720105,72,29,นางสาว,กุลธิดา,  เหมาเพชร,F,47,อาจารย์ประจำ มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,ปริญญาเอก,13641,13.39494,3
720106,72,18,นาย,สรชัด,  สุจิตต์,M,49,สมาชิกสภาผู้แทนราษฎร,ปริญญาเอก,46324,45.48838,1
720107,72,31,นาย,สมเกียรติ,  เสรีวิพุธ,M,68,ทนายความ,ปริญญาตรี,26551,26.07206,2
720108,72,32,นาย,พยอม,  ระวงศ์พันธุ์,M,77,นายก อบต.สาลี,ปริญญาโท,1312,1.28833,4
720109,72,5,นาย,ธนวัฒน์,  ศรีรัตนสุภานนท์,M,72,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,501,0.49196,9
720110,72,22,นาย,วิรัตน์,  ศุจิรัต,M,56,เกษตรกร,ต่ำกว่าปริญญาตรี,0,0.0,11
720111,72,36,นาย,ธวัช,  เคหะธูป,M,58,ธุรกิจส่วนตัว,ปริญญาตรี,159,0.15613,10
720201,72,37,นาย,อุดม,  เพชรน้อย,M,71,นายกเทศมนตรีตำบลตะค่า,ปริญญาโท,1023,1.04793,7
720202,72,25,นาย,พิศนุ,  เชื้อชมกุล,M,52,ผู้จัดการธนาคารกสิกรไทย,ปริญญาตรี,892,0.91374,8
720203,72,7,นาย,สมัชชา,  บุญญาอรุณเนตร,M,39,ธุรกิจส่วนตัว,ปริญญาตรี,563,0.57672,9
